=================================================================================
IMPORT LOG - EXCEL IMPORT
Date: 2026-03-28 11:00:48
Start Date: 2021-04-12
License Type: FL-III
Allowed Classes: W, V, M, F, D, K, G, R
=================================================================================

[2026-03-28 11:00:48] [START] Import started - File: BRAND TYPES Final_transformed_with_barcode.xlsx, Type: excel, Start Date: 2021-04-12
[2026-03-28 11:01:00] [INFO] Excel Headers found: Code, ItemName, PrintName, Size, PPrice, BPrice, MPrice, RPrice, LIQFLAG, OpeningBalance, Category, Class, SubClass, barcode
[2026-03-28 11:01:00] [SKIPPED] Row: 238 | Code: SCMPL0024571 | Item: Bacardi Carta Blanca Ulta Deluxe Superior White Ru | Reason: Class group 'O' not allowed for license 'FL-III' | Details: Allowed groups: W, V, M, F, D, K, G, R
[2026-03-28 11:01:00] [SKIPPED] Row: 239 | Code: SCMPL0024575 | Item: Bacardi Carta Blanca Ulta Deluxe Superior White Ru | Reason: Class group 'O' not allowed for license 'FL-III' | Details: Allowed groups: W, V, M, F, D, K, G, R
[2026-03-28 11:01:00] [SKIPPED] Row: 240 | Code: SCMPL0024576 | Item: Bacardi Carta Blanca Ulta Deluxe Superior White Ru | Reason: Class group 'O' not allowed for license 'FL-III' | Details: Allowed groups: W, V, M, F, D, K, G, R
[2026-03-28 11:01:00] [SKIPPED] Row: 248 | Code: SCMKS0018275 | Item: Bacardi Gold | Reason: Class group 'O' not allowed for license 'FL-III' | Details: Allowed groups: W, V, M, F, D, K, G, R
[2026-03-28 11:01:00] [SKIPPED] Row: 249 | Code: SCMKS0019669 | Item: Bacardi Gold | Reason: Class group 'O' not allowed for license 'FL-III' | Details: Allowed groups: W, V, M, F, D, K, G, R
[2026-03-28 11:01:00] [SKIPPED] Row: 250 | Code: SCMKS0018274 | Item: Bacardi Gold | Reason: Class group 'O' not allowed for license 'FL-III' | Details: Allowed groups: W, V, M, F, D, K, G, R
[2026-03-28 11:01:00] [SKIPPED] Row: 251 | Code: SCMKS0019668 | Item: Bacardi Gold | Reason: Class group 'O' not allowed for license 'FL-III' | Details: Allowed groups: W, V, M, F, D, K, G, R
[2026-03-28 11:01:00] [SKIPPED] Row: 281 | Code: SCMLS0023243 | Item: Bacardi Reserva Ocho Ron Dorado Selecto 8 | Reason: Class group 'O' not allowed for license 'FL-III' | Details: Allowed groups: W, V, M, F, D, K, G, R
[2026-03-28 11:01:00] [SKIPPED] Row: 307 | Code: SCMIT0019047 | Item: Baileys Orig IC | Reason: Class group 'O' not allowed for license 'FL-III' | Details: Allowed groups: W, V, M, F, D, K, G, R
[2026-03-28 11:01:00] [SKIPPED] Row: 308 | Code: SCMIT0019055 | Item: Baileys Orig IC | Reason: Class group 'O' not allowed for license 'FL-III' | Details: Allowed groups: W, V, M, F, D, K, G, R
[2026-03-28 11:01:00] [SKIPPED] Row: 309 | Code: SCMLS0035753 | Item: Baileys Salted Caramel | Reason: Class group 'O' not allowed for license 'FL-III' | Details: Allowed groups: W, V, M, F, D, K, G, R
[2026-03-28 11:01:00] [SKIPPED] Row: 330 | Code: SCMLS0039892 | Item: BALLANTINES SINGLE DISTILLERY EDITION | Reason: Class group 'O' not allowed for license 'FL-III' | Details: Allowed groups: W, V, M, F, D, K, G, R
[2026-03-28 11:01:00] [SKIPPED] Row: 345 | Code: SCMPL0043542 | Item: BARREL 24 PREMIUM WHIKSY | Reason: Class group 'O' not allowed for license 'FL-III' | Details: Allowed groups: W, V, M, F, D, K, G, R
